iter	RMSE
0	0.932585068
1	0.9129552927
2	0.8933138989
3	0.8727079984
4	0.8522720411
5	0.8363563141
6	0.8192393208
7	0.8035078027
8	0.7866279321
9	0.7702969768
10	0.7542783504
11	0.739497079
12	0.7229755282
13	0.7084732556
14	0.6953701194
15	0.6823417695
16	0.6716847517
17	0.6587446043
18	0.645492325
19	0.6328576176
20	0.621605924
21	0.6113790511
22	0.5984180458
23	0.5870280459
24	0.5769523199
25	0.5683391668
26	0.5579067115
27	0.5477444033
28	0.5381088543
29	0.5287891553
30	0.5190613208
31	0.5106812563
32	0.5001381137
33	0.4892906623
34	0.4810864875
35	0.4722731279
36	0.4635395354
37	0.4562319977
38	0.4501178057
39	0.4425066748
40	0.435153333
41	0.4274438522
42	0.4203101116
43	0.4127813579
44	0.405507343
45	0.399215373
46	0.3908403395
47	0.3856647817
48	0.3786636247
49	0.3739175828
50	0.367336312
51	0.3613987797
52	0.3550770924
53	0.3497279479
54	0.3444879909
55	0.3385946098
56	0.3328643889
57	0.3270531823
58	0.3227361401
59	0.3175745677
60	0.312663628
61	0.3095522656
62	0.3055011707
63	0.3002428743
64	0.2966630374
65	0.2922716978
66	0.2890824878
67	0.2837771198
68	0.2799714972
69	0.2754330025
70	0.2719292866
71	0.2674725129
72	0.2638584881
73	0.2603923824
74	0.2572074732
75	0.2532800741
76	0.2496802265
77	0.2465575364
78	0.2427775248
79	0.2398289336
80	0.2352217953
81	0.231717605
82	0.2281613556
83	0.2243448596
84	0.2211517039
85	0.2184677701
86	0.2156401802
87	0.2122830392
88	0.209160779
89	0.2061178164
90	0.2040739477
91	0.2013659087
92	0.1984188308
93	0.1959105972
94	0.1927712885
95	0.1912269218
96	0.1896129448
97	0.1872786669
98	0.1857129953
99	0.1836712186
100	0.1812094477
101	0.1785864075
102	0.1769580983
103	0.1740191869
104	0.1716611197
105	0.1695773803
106	0.1674105881
107	0.1653961286
108	0.163445667
109	0.160757854
110	0.1586967862
111	0.1564988443
112	0.1550303747
113	0.1527076884
114	0.1507199324
115	0.1487011795
116	0.147376067
117	0.1454475802
118	0.1434034893
119	0.1420157681
120	0.1398559478
121	0.1384729705
122	0.136734477
123	0.1348570957
124	0.1328424351
125	0.1315057313
126	0.1298227021
127	0.12842723
128	0.1269638558
129	0.1258248696
130	0.1246956326
131	0.1230656115
132	0.1214715431
133	0.1203453974
134	0.1190566159
135	0.1174860515
