iter	Passed	Remaining
0	23	22998
1	34	17354
2	43	14323
3	50	12607
4	59	11820
5	69	11543
6	77	10938
7	84	10530
8	92	10234
9	101	10058
10	110	9895
11	118	9779
12	127	9663
13	135	9575
14	144	9482
15	152	9373
16	159	9240
17	168	9206
18	176	9103
19	184	9016
20	191	8927
21	199	8879
22	208	8841
23	215	8764
24	225	8778
25	233	8762
26	244	8795
27	251	8733
28	260	8714
29	267	8662
30	276	8640
31	284	8603
32	292	8562
33	300	8525
34	307	8478
35	315	8437
36	323	8411
37	331	8398
38	339	8368
39	348	8355
40	356	8341
41	364	8318
42	372	8300
43	381	8296
44	390	8289
45	397	8250
46	405	8231
47	413	8200
48	421	8177
49	428	8144
50	437	8148
51	446	8131
52	453	8111
53	462	8094
54	470	8078
55	477	8057
56	485	8034
57	494	8031
58	504	8042
59	512	8036
60	521	8030
61	531	8037
62	539	8029
63	549	8040
64	558	8034
65	567	8027
66	575	8018
67	585	8028
68	595	8036
69	604	8028
70	613	8028
71	630	8122
72	639	8123
73	650	8141
74	659	8134
75	673	8192
76	687	8235
77	696	8238
78	705	8228
79	714	8217
80	724	8218
81	733	8213
82	742	8205
83	751	8198
84	761	8201
85	771	8198
86	780	8187
87	790	8187
88	799	8178
89	807	8169
90	816	8160
91	827	8171
92	842	8220
93	853	8225
94	862	8216
95	872	8213
96	881	8201
97	888	8181
98	897	8163
99	905	8152
100	913	8134
101	922	8123
102	932	8116
103	941	8107
104	949	8091
105	958	8086
106	967	8075
107	976	8062
108	985	8057
109	995	8050
110	1002	8032
111	1011	8018
112	1019	8003
113	1029	7998
114	1037	7984
115	1045	7971
116	1055	7962
117	1063	7952
118	1072	7940
119	1082	7936
120	1090	7922
121	1098	7907
122	1107	7898
123	1116	7890
124	1125	7877
125	1134	7869
126	1145	7871
127	1152	7852
128	1165	7867
129	1174	7862
130	1185	7863
131	1194	7855
132	1202	7839
133	1210	7824
134	1219	7812
135	1227	7800
136	1236	7790
137	1244	7772
138	1253	7765
139	1263	7758
140	1272	7750
141	1280	7739
142	1289	7728
143	1298	7721
144	1308	7715
145	1317	7704
146	1325	7691
147	1334	7682
148	1344	7677
